Year,Count
1981,1
1983,3
1986,1
1987,3
1988,2
1990,1
1991,1
1993,1
1994,4
1995,1
1996,3
1997,3
1999,6
2000,5
2001,6
2002,11
2003,9
2004,21
2005,16
2006,11
2007,19
2008,49
2009,39
2010,48
2011,71
2012,74
2013,103
2014,138
2015,167
2016,167
2017,146
2018,142
2019,194
2020,206
2021,163
2022,183
2023,222
2024,246
2025,49
