Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
S,"Cieliebak, M; Flocchini, P; Prencipe, G; Santoro, N",,"Baeten, JCM; Parrow, J; Lenstra, JK; Woeginger, GJ",,"Cieliebak, M; Flocchini, P; Prencipe, G; Santoro, N",,,Solving the robots gathering problem,"AUTOMATA, LANGUAGES AND PROGRAMMING, PROCEEDINGS",Lecture Notes in Computer Science,,,,"30th International Colloquium on Automata, Languages and Programming (ICALP 2003)","JUN 30-JUL 04, 2003","EINDHOVEN, NETHERLANDS","Municipal Eindhoven,Sodexho,Oce,Res Sch IPA,European Educ Forum,Springer Verlag,Elsevier,Philips Res,Atos Origin,Pallas Athena,Pearson Educ Benelux,ABE Fdn",,,,,,,,,"Prencipe, Giuseppe/KBD-0090-2024; Santoro, Nicola/AAG-9555-2020","Cieliebak, Mark/0009-0007-3059-8516; Santoro, Nicola/0000-0002-7954-3918",,,,,,,,,,,,,0302-9743,1611-3349,3-540-40493-7,,,,2003,2719,,,,,,1181,1196,,,,,,,,,,,,,,,,WOS:000185145700090,View Full Record in Web of Science
J,"Terasaki, H; Hasegawa, T",,,,"Terasaki, H; Hasegawa, T",,,Motion planning of intelligent manipulation by a parallel two-fingered gripper equipped with a simple rotating mechanism,IEEE TRANSACTIONS ON ROBOTICS AND AUTOMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042-296X,,,,,APR,1998,14,2,,,,,207,219,,10.1109/70.681241,http://dx.doi.org/10.1109/70.681241,,,,,,,,,,,,,WOS:000072855600002,View Full Record in Web of Science
C,"Saha, A; Maurya, J; Mukherjee, S; Dasgupta, R",,"Imai, F; Tremeau, A; Braz, J",,"Saha, Arindam; Maurya, Jitender; Mukherjee, Sushovan; Dasgupta, Ranjan",,,ThermoFlowScan: Automatic Thermal Flow Analysis of Machines from Infrared Video,"PROCEEDINGS OF THE 12TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION, IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS (VISIGRAPP 2017), VOL 4",,,,,"12th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (VISIGRAPP)","FEB 27-MAR 01, 2017","Porto, PORTUGAL","Inst Syst & Technologies Informat, Control & Commun,ACM SIGGRAPH,AFIG,Eurographics",,,,,,,,,"Dasgupta, Ranjan/AAC-3148-2020",,,,,,,,,,,,,,,,978-989-758-225-7,,,,2017,,,,,,,637,644,,10.5220/0006267206370644,http://dx.doi.org/10.5220/0006267206370644,,,,,,,,,,,,,WOS:000444907000074,View Full Record in Web of Science
J,"Marom, S; Meir, R; Braun, E; Gal, A; Kermany, E; Eytan, D",,,,"Marom, Shimon; Meir, Ron; Braun, Erez; Gal, Asaf; Kermany, Einat; Eytan, Danny",,,On the precarious path of reverse neuro-engineering,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,,,,,,,,,,,,,,,,,"Marom, Shimon/D-8112-2011; Gal, Asaf/ABC-6156-2020; Eytan, Danny/ADL-7002-2022","Eytan, Danny/0000-0001-7684-1429; Gal, Asaf/0000-0003-0834-2649; Marom, Shimon/0000-0002-9138-4833",,,,,,,,,,,,,1662-5188,,,,,MAY,2009,3,,,,,,,,5,10.3389/neuro.10.005.2009,http://dx.doi.org/10.3389/neuro.10.005.2009,,,,,,,,19503751,,,,,WOS:000283724000001,View Full Record in Web of Science
C,"Hespanha, JP; Dodds, Z; Hager, GD; Morse, AS",,,IEEE; IEEE,"Hespanha, JP; Dodds, Z; Hager, GD; Morse, AS",,,Decidability of robot positioning tasks using stereo vision systems,"PROCEEDINGS OF THE 37TH IEEE CONFERENCE ON DECISION AND CONTROL, VOLS 1-4",IEEE Conference on Decision and Control,,,,37th IEEE Conference on Decision and Control,"DEC 16-18, 1998","TAMPA, FL","IEEE Control Syst Soc,Soc Ind & Appl Math,Inst Operat Res & Management Sci",,,,,,,,,"Hespanha, Joao/C-2569-2008; Hager, Gregory/A-3222-2010",,,,,,,,,,,,,,0743-1546,,0-7803-4394-8,,,,1998,,,,,,,3736,3741,,,,,,,,,,,,,,,,WOS:000079708900725,View Full Record in Web of Science
J,"Duarte, L; Neto, P",,,,"Duarte, Laura; Neto, Pedro",,,Event-based dataset for the detection and classification of manufacturing assembly tasks,DATA IN BRIEF,,,,,,,,,,,,,,,,,"Neto, Pedro/D-4656-2009","Neto, Pedro/0000-0003-2177-5078; Duarte, Laura/0000-0001-8055-2865",,,,,,,,,,,,,2352-3409,,,,,JUN,2024,54,,,,,,,,110340,10.1016/j.dib.2024.110340,http://dx.doi.org/10.1016/j.dib.2024.110340,,MAR 2024,,,,,,38550235,,,,,WOS:001219043200001,View Full Record in Web of Science
C,"Loizou, SG; Kyriakopoulos, KJ",,,IEEE,"Loizou, Savvas G.; Kyriakopoulos, Kostas J.",,,Automated planning of motion tasks for multi-robot systems,"2005 44TH IEEE CONFERENCE ON DECISION AND CONTROL & EUROPEAN CONTROL CONFERENCE, VOLS 1-8",IEEE Conference on Decision and Control,,,,44th IEEE Conference on Decision Control/European Control Conference (CCD-ECC),"DEC 12-15, 2005","Seville, SPAIN","IEEE Control Syst Soc,European Union Control Assoc,IFAC,INFORMS,SIAM,SICE,Honeywell,MathWorks",,,,,,,,,"Kyriakopoulos, Kostas/AAN-8453-2021","Loizou, Savvas/0000-0003-4083-9946; Kyriakopoulos, Kostas/0000-0002-1229-3029",,,,,,,,,,,,,0743-1546,,0-7803-9567-0,,,,2005,,,,,,,78,83,,,,,,,,,,,,,,,,WOS:000240653700014,View Full Record in Web of Science
J,"Sawasaki, N; Inoue, H",,,,"Sawasaki, N; Inoue, H",,,Cooperative manipulation by autonomous intelligent robots,JSME INTERNATIONAL JOURNAL SERIES C-DYNAMICS CONTROL ROBOTICS DESIGN AND MANUFACTURING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340-8062,,,,,JUN,1996,39,2,,,,,286,293,,10.1299/jsmec1993.39.286,http://dx.doi.org/10.1299/jsmec1993.39.286,,,,,,,,,,,,,WOS:A1996UX94000015,View Full Record in Web of Science
C,"Shademan, A; Farahmand, AM; Jägersand, M",,,IEEE,"Shademan, Azad; Farahmand, Amir-massoud; Jaegersand, Martin",,,Towards Learning Robotic Reaching and Pointing: An Uncalibrated Visual Servoing Approach,2009 CANADIAN CONFERENCE ON COMPUTER AND ROBOT VISION,,,,,6th Canadian Conference on Computer and Robot Vision,"MAY 25-27, 2009","Kelowna, CANADA","Canadian Image Proc & Pattern Recognit Soc,Int Assoc Pattern Recognit",,,,,,,,,,,,,,,,,,,,,,,,,978-1-4244-4211-9,,,,2009,,,,,,,229,236,,10.1109/CRV.2009.47,http://dx.doi.org/10.1109/CRV.2009.47,,,,,,,,,,,,,WOS:000279806900032,View Full Record in Web of Science
C,"Sharbafi, MA; Radkhah, K; von Stryk, O; Seyfarth, A",,,IEEE,"Sharbafi, Maziar A.; Radkhah, Katayon; von Stryk, Oskar; Seyfarth, Andre",,,Hopping control for the musculoskeletal bipedal robot: BioBiped,2014 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS 2014),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"SEP 14-18, 2014","Chicago, IL","IEEE,Robot Soc Japan,RA,SICE,IES,New Technol Fdn",,,,,,,,,"Ahmad Sharbafi, Maziar/C-8688-2017","Ahmad Sharbafi, Maziar/0000-0001-5727-7527",,,,,,,,,,,,,2153-0858,,978-1-4799-6934-0,,,,2014,,,,,,,4868,4875,,,,,,,,,,,,,,,,WOS:000349834604145,View Full Record in Web of Science
