Year,Count
1982,1
1987,2
1989,2
1990,4
1991,2
1992,1
1993,1
1994,3
1996,5
1997,1
1998,4
1999,3
2000,1
2001,1
2003,3
2004,2
2005,3
2006,4
2007,3
2008,1
2009,4
2010,1
2011,1
2012,3
2013,3
2014,8
2015,2
2016,7
2017,4
2018,2
2019,5
2021,2
2022,2
2023,9
2024,7
