Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Learning Manipulation by Sequencing Motor Primitives with a Two-Armed Robot,Intelligent Autonomous Systems 13,,,,10.1007/978-3-319-08338-4_115,Rudolf LioutikovOliver KroemerGuilherme MaedaJan Peters,2016,https://link.springer.com/chapter/10.1007/978-3-319-08338-4_115,Conference paper
Policy Search for Motor Primitives in Robotics,Learning Motor Skills,,,,10.1007/978-3-319-03194-1_4,Jens KoberJan Peters,2014,https://link.springer.com/chapter/10.1007/978-3-319-03194-1_4,Chapter
Synthesising a Motor-Primitive Inspired Control Architecture for Redundant Compliant Robots,From Animals to Animats 12,,,,10.1007/978-3-642-33093-3_10,Naveen KuppuswamyHugo Gravato MarquesHelmut Hauser,2012,https://link.springer.com/chapter/10.1007/978-3-642-33093-3_10,Conference paper
"Toward simple control for complex, autonomous robotic applications: combining discrete and rhythmic motor primitives",Autonomous Robots,,,,10.1007/s10514-011-9235-2,Sarah DegallierLudovic RighettiSebastien GayAuke Ijspeert,2011,https://link.springer.com/article/10.1007/s10514-011-9235-2,Article
Policy search for motor primitives in robotics,Machine Learning,,,,10.1007/s10994-010-5223-6,Jens KoberJan Peters,2010,https://link.springer.com/article/10.1007/s10994-010-5223-6,Article
