Year,Count
1985,1
1988,1
1990,1
1997,3
1998,2
1999,1
2000,1
2001,2
2003,1
2004,2
2005,3
2006,3
2007,4
2008,5
2009,9
2010,8
2011,4
2012,8
2013,9
2014,7
2015,9
2016,15
2017,16
2018,10
2019,15
2020,18
2021,18
2022,17
2023,22
2024,28
2025,5
