Title,Year,DOI
Interactive method research of dual mode information coordination integration for astronaut gesture and eye movement signals based on hybrid model,2023,10.1007/s11431-022-2368-y
A Semi-supervised Puzzle-Based Method for Separating the Venous and Arterial Vascular Networks in Retinal Images,2014,
Autonomy: Life and Being,2010,
Recent developments of the HLPR chair,2007,10.1109/ICORR.2007.4428551
Robust System Portfolio Modeling and Solving in Complex System of Systems Construction,2016,
A guidance reconfiguration strategy to handle aileron actuator fault,2015,
All-Polymer Based Stretchable Rubbery Electronics and Sensors,2022,10.1002/adfm.202111232
Bio-inspired shape-memory structural color hydrogel film,2022,10.1016/j.scib.2021.10.010
Overview and update of the Demo III Experimental Unmanned Vehicle program,2000,10.1117/12.391631
A bio-inspired soft-rigid hybrid actuator made of electroactive dielectric elastomers,2020,10.1016/j.apmt.2020.100814
The sky-wave radar detection performance computing based on the dynamic ionospheric model,2015,10.1016/j.neucom.2014.10.073
Dynamic feed-forward control of a parallel kinematic machine,2009,10.1016/j.mechatronics.2008.11.004
A Vehicle Detection Model Based on 5G-V2X for Smart City Security Perception,2021,10.1155/2021/5237568
Dual tumor-targeted multifunctional magnetic hyaluronic acid micelles for enhanced MR imaging and combined photothermal-chemotherapy,2018,10.1016/j.colsurfb.2018.02.005
The Construction of Quantitative Research on Evaluation of Independent Innovation Ability of Small and Medium-sized Industrial Enterprises,2019,10.1109/ICRIS.2019.00136
Improvement and Fusion of A* Algorithm and Dynamic Window Approach Considering Complex Environmental Information,2021,10.1007/s13369-021-05445-6
Fixed Wing UAV-based Non-Terrestrial Networks for 5G millimeter wave Connected Vehicles,2023,10.1109/CCWC57344.2023.10099281
Development of an intelligent control system for wood drying processes,2001,
Digital colloid-enhanced Raman spectroscopy for the pharmacokinetic detection of bioorthogonal drugs,2024,10.1039/d4sc02553a
Recurrent temporal networks and language acquisition - from corticostriatal neurophysiology to reservoir computing,2013,10.3389/fpsyg.2013.00500
A ROS-based Simulator for Testing the Enhanced Autonomous Navigation of the Mars 2020 Rover,2020,10.1109/aero47225.2020.9172345
A Decision Support Methodology for the Design of Reconfigurable Assembly Systems,2018,10.1016/j.ifacol.2018.08.243
