Title,Year,DOI
Synthesis of New Dynamic Movement Primitives Through Search in a Hierarchical Database of Example Movements,2015,10.5772/61036
Impact of Discrete Corrections in a Modular Approach for Trajectory Generation in Quadruped Robots,2011,10.1063/1.3636776
Reinforcement learning to adjust parametrized motor primitives to new situations,2012,10.1007/s10514-012-9290-3
Imitation and Reinforcement Learning Practical Algorithms for Motor Primitives in Robotics,2010,10.1109/MRA.2010.936952
Learning to select and generalize striking movements in robot table tennis,2013,10.1177/0278364912472380
Generalization of Human Grasping for Multi-Fingered Robot Hands,2012,
Biologically Guided Driver Modeling: the Stop Behavior of Human Car Drivers,2018,10.1109/TITS.2017.2751526
Evolution of Neural Symmetry and its Coupled Alignment to Body Plan Morphology,2011,
Policy Learning - A Unified Perspective with Applications in Robotics,2008,
Adaptation of Motor Primitives to the Environment Through Learning and Statistical Generalization,2016,10.1007/978-3-319-21290-6_45
Musculoskeletal Bias on Infant Sensorimotor Development Driven by Predictive Learning,2019,10.1109/devlrn.2019.8850722
Towards Learning Hierarchical Skills for Multi-Phase Manipulation Tasks,2015,
MIT-Skywalker: A Novel Environment for Neural Gait Rehabilitation,2014,
Stable heteroclinic channels for controlling a simulated aquatic serpentine robot in narrow crevices,2025,10.3389/felec.2025.1507644
Learning Sensory-Motor Associations from Demonstration,2020,
Reinforcement learning of motor skills with policy gradients,2008,10.1016/j.neunet.2008.02.003
Kick Control: Using the Attracting States Arising Within the Sensorimotor Loop of Self-Organized Robots as Motor Primitives,2018,10.3389/fnbot.2018.00040
Experimental Validation of Motor Primitive-Based Control for Leg Exoskeletons during Continuous Multi-Locomotion Tasks,2017,10.3389/fnbot.2017.00015
Imitation Learning Control Strategy Based on Probabilistic Motor primitive for Upper Limb Rehabilitation Training,2024,10.1109/CIS-RAM61939.2024.10673394
A GOAL-ORIENTATION FRAMEWORK FOR SELF-ORGANIZING CONTROL,2013,10.1142/S0219525913500021
MACOP modular architecture with control primitives,2013,10.3389/fncom.2013.00099
Sensory-motor primitives as a basis for imitation: Linking perception to action and biology to robotics,2002,
Human-Robot Interaction Learning Using Demonstration-Based Learning and Q-Learning in a Pervasive Sensing Environment,2013,10.1155/2013/782043
Motor-Skill Learning in an Insect Inspired Neuro-Computational Control System,2017,10.3389/fnbot.2017.00012
Exemplar-based primitives for humanoid movement classification and control,2004,10.1109/ROBOT.2004.1307142
Emergence of Functional Hierarchy in a Multiple Timescale Neural Network Model: A Humanoid Robot Experiment,2008,10.1371/journal.pcbi.1000220
Modulation of Motor Primitives using Force Feedback: Interaction with the Environment and Bimanual Tasks,2013,
A Preliminary Experiment for Transferring Human Motion to a Musculoskeletal Robot-Decomposition of Human Running based on Muscular Coordination,2011,
Task-Oriented Parameter Tuning Based on Priority Condition for Biologically Inspired Robot Application,2015,10.1155/2015/506491
Soft-Grasping With an Anthropomorphic Robotic Hand Using Spiking Neurons,2021,10.1109/LRA.2020.3034067
Active learning of inverse models with intrinsically motivated goal exploration in robots,2013,10.1016/j.robot.2012.05.008
Analysis of Human Interaction Patterns Emerging while Learning Agile Navigation of Unknown Environments,2019,10.1016/j.ifacol.2019.01.031
Parametric primitives for motor representation and control,2002,
