Year,Count
1999,1
2000,1
2001,3
2002,9
2003,3
2004,9
2005,4
2006,7
2007,10
2008,9
2009,9
2010,17
2011,30
2012,19
2013,29
2014,37
2015,30
2016,30
2017,18
2018,23
2019,18
2020,8
2021,14
2022,14
2023,11
2024,10
2025,1
