Title,Year,DOI
Bioinspired Gain-Modulated Recurrent Neural Network for Controlling Musculoskeletal Robot,2021,10.1109/TNNLS.2021.3071196
Reconstruction of Hip Moments Through Constrained Shape Primitives,2022,10.1007/978-3-030-69547-7_62
Dynamic movement primitives in robotics: A tutorial survey,2023,10.1177/02783649231201196
Towards robot skill learning,2020,10.1109/ICARSC49921.2020.9096178
Motion Learning for Musculoskeletal Robots Based on Cortex-Inspired Motor Primitives and Modulation,2024,10.1109/TCDS.2023.3293097
Calibration Method to Improve Transfer from Simulation to Quadruped Robots,2018,10.1007/978-3-319-97628-0_9
SLIM: Skill Learning with Multiple Critics,2024,10.1109/ICRA57147.2024.10610691
Touch-Based Grasp Primitives for Soft Hands: Applications to Human-to-Robot Handover Tasks and beyond,2018,10.1109/ICRA.2018.8463212
Extraction of simple monophasic motor primitives towards bio-inspired locomotion assistance,2019,10.1109/CBS46900.2019.9114458
Learning manipulation graphs from demonstrations using multimodal sensory signals,2018,10.1109/ICRA.2018.8461121
Learning manipulation by sequencing motor primitives with a Two-Armed robot,2016,10.1007/978-3-319-08338-4_115
Prediction of Changes of Intentions and Avoidance Strategies for the Way Crossing Scenarios,2021,10.1007/978-3-030-71119-1_79
Generalizing movement primitives to new situations,2017,10.1007/978-3-319-64107-2_2
Autonomously constructing hierarchical task networks for planning and human-robot collaboration,2016,10.1109/ICRA.2016.7487760
Agile and Intelligent Control based on Geometric Motion Primitives for Robotic Arms,2022,10.1109/CAC57257.2022.10054971
How Many Muscles? Optimal Muscles Set Search for Optimizing Myocontrol Performance,2021,10.3389/fncom.2021.668579
Bimanual Rope Manipulation Skill Synthesis through Context Dependent Correction Policy Learning from Human Demonstration,2023,10.1109/ICRA48891.2023.10160895
Emergence of Different Modes of Tool Use in a Reaching and Dragging Task,2021,10.1109/IJCNN52387.2021.9533775
Learning programs is better than learning dynamics: A programmable neural network hierarchical architecture in a multi-task scenario,2016,10.1177/1059712315609412
Evaluation of Motor Primitive-Based Adaptive Control for Lower Limb Exoskeletons,2020,10.3389/frobt.2020.575217
An online gait generator for quadruped walking using motor primitives,2016,10.1177/1729881416657960
Active learning of affordances for robot use of household objects,2015,10.1109/HUMANOIDS.2014.7041419
Learning Sensory-Motor Associations from Demonstration,2020,10.1109/RO-MAN47096.2020.9223439
Human social motor solutions for human–machine interaction in dynamical task contexts,2019,10.1073/pnas.1813164116
Humanoid robot imitation through continuous goal-directed actions: An evolutionary approach,2015,10.1080/01691864.2014.964314
Control Design Inspired by Motors Primitives to Coordinate the Functioning of an Active Knee Orthosis for Robotic Rehabilitation,2022,10.1007/978-3-030-70601-2_96
Soft-Grasping with an Anthropomorphic Robotic Hand Using Spiking Neurons,2021,10.1109/LRA.2020.3034067
Rhythmic robotic training enhances motor skills of both rhythmic and discrete upper-limb movements after stroke: A longitudinal pilot study,2019,10.1097/MRR.0000000000000325
Embodied robots driven by self-organized environmental feedback,2019,10.1177/1059712319855622
Peg-in-Hole assembly under uncertain pose estimation,2015,10.1109/WCICA.2014.7053179
Robot hand learning from multiple demonstrations using dynamics motor primitives,2017,10.1109/ICAMechS.2017.8316540
High-level learning from demonstration with conceptual spaces and subspace clustering,2015,10.1109/ICRA.2015.7139548
Experimental validation of motor primitive-based control for leg exoskeletons during continuous multi-locomotion tasks,2017,10.3389/fnbot.2017.00015
Generalization-based acquisition of training data for motor primitive learning by neural networks,2021,10.3390/app11031013
Robust learning from demonstrations using multidimensional SAX,2014,10.1109/ICCAS.2014.6987960
MACOP modular architecture with control primitives,2013,10.3389/fncom.2013.00099
Biped robots: Effects of small perturbations on the generation of modular trajectories,2012,
