Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Thomas, PS; Barto, AG",,,IEEE,"Thomas, Philip S.; Barto, Andrew G.",,,Motor Primitive Discovery,2012 IEEE INTERNATIONAL CONFERENCE ON DEVELOPMENT AND LEARNING AND EPIGENETIC ROBOTICS (ICDL),Joint IEEE International Conference on Development and Learning and Epigenetic Robotics ICDL-EpiRob,,,,IEEE International Conference on Development and Learning and Epigenetic Robotics (ICDL),"NOV 07-09, 2012","San Diego, CA",IEEE,,,,,,,,,,,,,,,,,,,,,,,2161-9484,,978-1-4673-4963-5; 978-1-4673-4964-2,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,WOS:000313591500057,View Full Record in Web of Science
J,"Degallier, S; Righetti, L; Gay, S; Ijspeert, A",,,,"Degallier, Sarah; Righetti, Ludovic; Gay, Sebastien; Ijspeert, Auke",,,"Toward simple control for complex, autonomous robotic applications: combining discrete and rhythmic motor primitives",AUTONOMOUS ROBOTS,,,,,,,,,,,,,,,,,"; Righetti, Ludovic/P-1261-2018","Degallier Rochat, Sarah/0000-0002-2267-5768; Ijspeert, Auke Jan/0000-0003-1417-9980; Righetti, Ludovic/0000-0002-6458-9112",,,,,,,,,,,,,0929-5593,1573-7527,,,,OCT,2011,31,2-3,,,,,155,181,,10.1007/s10514-011-9235-2,http://dx.doi.org/10.1007/s10514-011-9235-2,,,,,,,,,,,,,WOS:000294787500003,View Full Record in Web of Science
C,"Morante, S; Victores, JG; Jardón, A; Balaguer, C",,,IEEE,"Morante, Santiago; Victores, Juan G.; Jardon, Alberto; Balaguer, Carlos",,,On Using Guided Motor Primitives to Execute Continuous Goal-Directed Actions,2014 23RD IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (IEEE RO-MAN),IEEE RO-MAN,,,,23rd IEEE International Symposium on Robot and Human Interactive Communication (IEEE RO-MAN),"AUG 25-29, 2014","Heriot Watt Univ, Edinburgh, SCOTLAND","IEEE,IEEE Robot & Automat Soc,Robot Soc Japan,Korea Robot Soc,IEEE Syst, Man & Cybernet Soc",Heriot Watt Univ,,,,,,,,"JARDON HUETE, ALBERTO/E-4906-2010; Victores, Juan/AAE-4206-2020; VICTORES, JUAN/P-1553-2014","Morante, Santiago/0000-0003-4933-7694; BALAGUER, CARLOS/0000-0003-4864-4625; VICTORES, JUAN/0000-0002-3080-3467",,,,,,,,,,,,,1944-9445,,978-1-4799-6765-0,,,,2014,,,,,,,613,618,,,,,,,,,,,,,,,,WOS:000366603200100,View Full Record in Web of Science
J,"Kober, J; Peters, J",,,,"Kober, Jens; Peters, Jan",,,Policy search for motor primitives in robotics,MACHINE LEARNING,,,,,,,,,,,,,,,,,"Peters, Jan/D-5068-2009; Kober, Jens/I-9119-2017","Kober, Jens/0000-0001-7257-5434",,,,,,,,,,,,,0885-6125,1573-0565,,,,JUL,2011,84,1-2,,,,,171,203,,10.1007/s10994-010-5223-6,http://dx.doi.org/10.1007/s10994-010-5223-6,,,,,,,,,,,,,WOS:000291607100007,View Full Record in Web of Science
S,"Kober, J; Mohler, B; Peters, J",,"Sigaud, O; Peters, J",,"Kober, Jens; Mohler, Betty; Peters, Jan",,,Imitation and Reinforcement Learning for Motor Primitives with Perceptual Coupling,FROM MOTOR LEARNING TO INTERACTION LEARNING IN ROBOTS,Studies in Computational Intelligence,,,,,,,,,,,,,,,,"Peters, Jan/D-5068-2009; Kober, Jens/I-9119-2017","Peters, Jan/0000-0002-5266-8091; Kober, Jens/0000-0001-7257-5434",,,,,,,,,,,,,1860-949X,1860-9503,978-3-642-05180-7,,,,2010,264,,,,,,209,225,,,,10.1007/978-3-642-05181-4,,,,,,,,,,,,WOS:000274523000010,View Full Record in Web of Science
C,"Pongas, D; Billard, A; Schaal, S",,,IEEE,"Pongas, D; Billard, A; Schaal, S",,,Rapid synchronization and accurate phase-locking of rhythmic motor primitives,"2005 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, VOLS 1-4",,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems,"AUG 02-06, 2005","Edmonton, CANADA","IEEE,Robot Soc Japan",,,,,,,,,,,,,,,,,,,,,,,,,0-7803-8912-3,,,,2005,,,,,,,1917,1922,,10.1109/IROS.2005.1545257,http://dx.doi.org/10.1109/IROS.2005.1545257,,,,,,,,,,,,,WOS:000235632101143,View Full Record in Web of Science
C,"Gopalan, N; Deisenroth, MP; Peters, J",,,IEEE,"Gopalan, Nakul; Deisenroth, Marc Peter; Peters, Jan",,,Feedback Error Learning for Rhythmic Motor Primitives,2013 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 06-10, 2013","Karlsruhe, GERMANY",IEEE,,,,,,,,,"Deisenroth, Marc/G-8947-2013; Peters, Jan/D-5068-2009","Deisenroth, Marc/0000-0003-1503-680X; Peters, Jan/0000-0002-5266-8091",,,,,,,,,,,,,1050-4729,2577-087X,978-1-4673-5641-1; 978-1-4673-5643-5,,,,2013,,,,,,,1317,1322,,,,,,,,,,,,,,,,WOS:000337617301047,View Full Record in Web of Science
C,"Agudelo-España, D; Alvarez, MA; Orozco, AA",,"BeltranCastanon, C; Nystrom, I; Famili, F",,"Agudelo-Espana, Diego; Alvarez, Mauricio A.; Orozco, Alvaro A.",,,Definition and Composition of Motor Primitives Using Latent Force Models and Hidden Markov Models,"PROGRESS IN PATTERN RECOGNITION, IMAGE ANALYSIS, COMPUTER VISION, AND APPLICATIONS, CIARP 2016",Lecture Notes in Computer Science,,,,21st Iberoamerican Congress on Pattern Recognition (CIARP),"NOV 08-11, 2016","Lima, PERU","Peruvian Assoc Pattern Recognit,Argentine Soc Pattern Recognit,Brazilian Comp Soc, Special Interest Grp,Chilean Assoc Pattern Recognit,Cuban Assoc Pattern Recognit,Mexican Assoc Comp Vis, Neural Comp & Robot,Spanish Assoc Pattern Recognit & Image Anal,Uruguayan Assoc Pattern Recognit,Portuguese Assoc Pattern Recognit,Int Assoc Pattern Recognit",,,,,,,,,"Orozco, Alvaro/HNJ-0004-2023","Orozco Gutierrez, Alvaro Angel/0000-0002-1167-1446",,,,,,,,,,,,,0302-9743,1611-3349,978-3-319-52277-7; 978-3-319-52276-0,,,,2017,10125,,,,,,249,256,,10.1007/978-3-319-52277-7_31,http://dx.doi.org/10.1007/978-3-319-52277-7_31,,,,,,,,,,,,,WOS:000418399200031,View Full Record in Web of Science
C,"Kubota, M; Yamazaki, T; Nishino, T",,"Takahashi, S; Leo, R",,"Kubota, Mamoru; Yamazaki, Tadashi; Nishino, Tetsuro",,,Brain-Inspired Motion Programming for Hobby-Use Humanoid Robots,"2013 14TH ACIS INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING, ARTIFICIAL INTELLIGENCE, NETWORKING AND PARALLEL/DISTRIBUTED COMPUTING (SNPD 2013)",,,,,"14th ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)","JUL 01-03, 2013","Honolulu, HI","IEEE,IEEE Comp Soc,Int Assoc Comp & Informat Sci,Cent Michigan Univ, Software Engn & Informat Technol Inst",,,,,,,,,,,,,,,,,,,,,,,,,978-0-7695-5005-3,,,,2013,,,,,,,472,477,,10.1109/SNPD.2013.37,http://dx.doi.org/10.1109/SNPD.2013.37,,,,,,,,,,,,,WOS:000333893400070,View Full Record in Web of Science
J,"Nah, MC; Lachner, J; Hogan, N",,,,"Nah, Moses C.; Lachner, Johannes; Hogan, Neville",,,Robot control based on motor primitives: A comparison of two approaches,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,,,,,,,,,,,,,,,,,,"Lachner, Johannes/0000-0003-0166-3669; Nah, Moses/0000-0002-9658-9678",,,,,,,,,,,,,0278-3649,1741-3176,,,,OCT,2024,43,12,,,,,1959,1991,,10.1177/02783649241258782,http://dx.doi.org/10.1177/02783649241258782,,JUN 2024,,,,,,,,,,,WOS:001252582600001,View Full Record in Web of Science
