Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Rozo, L; Jiménez, P; Torras, C",,"Alquezar, R; Moreno, A; Aguilar, J",,"Rozo, Leonel; Jimenez, Pablo; Torras, Carme",,,Learning Force-Based Robot Skills from Haptic Demonstration,ARTIFICIAL INTELLIGENCE RESEARCH AND DEVELOPMENT,Frontiers in Artificial Intelligence and Applications,,,,13th International Conference of the Catalan-Association-for-Artificial-Intelligence (CCIA),"OCT 20-22, 2010","L Espluga de Francoli, SPAIN","Catalan Assoc Artificial Intelligence (ACIA),Intelligent Technologies Adv Knowledge Acquisit Grp (iTAKA),Univ Rovira i Virgili (URV), Banzai Res Grp Artificial Intelligence,Univ Rovira i Virgili (URV), Banzai Res Grp Artificial Intelligence, Dept Comp Sci & Math,Microart,iSOCO,Univ Rovira i Virgili (URV), Master Seguretat Informatica & Sistemes Intel Ligents,Univ Rovira i Virgili (URV),Univ Rovira i Virgili (URV), Dept Enginyeria, Informatica & Matemaiques,Escola Tecnica Super Enginyeria (ETSE),Gobierno Espana, Ministerio Ciencia & Innovacion,Univ & Recerca, Agencia Gestio Ajuts,TIC Tarragona,Univ Rovira i Virgili (URV), Master Interuniversitari Intel Ligencia Artificial,Univ Barcelona (UB), Master Interuniversitari Intel Ligencia Artificial,UPC, Master Interuniversitari Intel Ligencia Artificial",,,,,,,,,"Rozo, Leonel/HTP-2045-2023; Torras, Carme/M-1794-2014","Torras, Carme/0000-0002-2933-398X",,,,,,,,,,,,,0922-6389,1879-8314,978-1-60750-643-0; 978-1-60750-642-3,,,,2010,220,,,,,,331,340,,10.3233/978-1-60750-643-0-331,http://dx.doi.org/10.3233/978-1-60750-643-0-331,,,,,,,,,,,,,WOS:000321818400033,View Full Record in Web of Science
J,"Xi, B; Wang, R; Cai, YH; Lu, T; Wang, S",,,,"Xi, Bao; Wang, Rui; Cai, Ying-Hao; Lu, Tao; Wang, Shuo",,,A Novel Heterogeneous Actor-critic Algorithm with Recent Emphasizing Replay Memory,INTERNATIONAL JOURNAL OF AUTOMATION AND COMPUTING,,,,,,,,,,,,,,,,,"Xi, Bao/W-9854-2019; wang, shuo/MIT-1662-2025","Cai, Yinghao/0000-0003-3024-2943; wang, shuo/0000-0002-1390-9219",,,,,,,,,,,,,1476-8186,1751-8520,,,,AUG,2021,18,4,,,,,619,631,,10.1007/s11633-021-1296-x,http://dx.doi.org/10.1007/s11633-021-1296-x,,APR 2021,,,,,,,,,,,WOS:000643183100001,View Full Record in Web of Science
J,"Diab, M; Pomarlan, M; Bessler, D; Akbari, A; Rosell, J; Bateman, J; Beetz, M",,,,"Diab, Mohammed; Pomarlan, Mihai; Bessler, Daniel; Akbari, Aliakbar; Rosell, Jan; Bateman, John; Beetz, Michael",,,SkillMaN - A skill-based robotic manipulation framework based on perception and reasoning,ROBOTICS AND AUTONOMOUS SYSTEMS,,,,,,,,,,,,,,,,,"Diab, Mohammed/AAF-6776-2019; Bateman, John/R-5135-2016; Rosell, Jan/K-3613-2014; Diab, Mohammed/Q-6649-2017","Beetz, Michael/0000-0002-7888-7444; Akbari, Ali/0000-0002-5290-9799; Bessler, Daniel/0000-0002-9876-5743; Rosell, Jan/0000-0003-4854-2370; Diab, Mohammed/0000-0002-5743-5190",,,,,,,,,,,,,0921-8890,1872-793X,,,,DEC,2020,134,,,,,,,,103653,10.1016/j.robot.2020.103653,http://dx.doi.org/10.1016/j.robot.2020.103653,,,,,,,,,,,,,WOS:000586017500009,View Full Record in Web of Science
B,"Karigiannis, JN; Rekatsinas, T; Tzafestas, CS",,"Cutsuridis, V; Hussain, A; Taylor, JG",,"Karigiannis, John N.; Rekatsinas, Theodoros; Tzafestas, Costas S.",,,Developmental Learning of Cooperative Robot Skills: A Hierarchical Multi-Agent Architecture,"PERCEPTION-ACTION CYCLE: MODELS, ARCHITECTURES, AND HARDWARE",Springer Series in Cognitive and Neural Systems,,,,,,,,,,,,,,,,"Tzafestas, Costas/Q-8230-2019; Karigiannis, John/AAE-4779-2020","Rekatsinas, Theodoros/0000-0001-6148-1854",,,,,,,,,,,,,,,978-1-4419-1451-4,,,,2011,1,,,,,,497,538,,10.1007/978-1-4419-1452-1_16,http://dx.doi.org/10.1007/978-1-4419-1452-1_16,10.1007/978-1-4419-1452-1,,,,,,,,,,,,WOS:000288343100016,View Full Record in Web of Science
J,"Liu, ZZ; Fang, YC",,,,"Liu, Zezhi; Fang, Yongchun",,,A Novel DMPs Framework for Robot Skill Generalizing With Obstacle Avoidance: Taking Volume and Orientation Into Consideration,IEEE-ASME TRANSACTIONS ON MECHATRONICS,,,,,,,,,,,,,,,,,,"Liu, Zezhi/0009-0000-2422-8497",,,,,,,,,,,,,1083-4435,1941-014X,,,,2025 JAN 17,2025,,,,,,,,,,10.1109/TMECH.2024.3524207,http://dx.doi.org/10.1109/TMECH.2024.3524207,,JAN 2025,,,,,,,,,,,WOS:001400128000001,View Full Record in Web of Science
C,"Koiwai, K; Liao, Y; Yamamoto, T; Nanjo, T; Yamazaki, Y; Fujimoto, Y",,"Jia, Y; Ito, T; Lee, JJ; Sugisaka, M",,"Koiwai, Kazushige; Liao, Yuntao; Yamamoto, Toru; Nanjo, Takao; Yamazaki, Yoichiro; Fujimoto, Yoshiaki",,,A Consideration on Feature Extraction for Operation Skill Based on Control Engineering Approach,PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON ARTIFICIAL LIFE AND ROBOTICS (ICAROB 2016),,,,,International Conference on Artificial Life and Robotics (ICAROB),"JAN 29-31, 2016","Okinawa, JAPAN","ALife Robot Corp Ltd,Int Conf Artificial Life & Robot, Int Steering Comm,IEEE Fukuoka Sect,IEEE Robot & Automat Soc,Chinese Assoc Artificial Intelligence",,,,,,,,,,,,,,,,,,,,,,,,,978-4-9908350-1-9,,,,2016,,,,,,,389,392,,,,,,,,,,,,,,,,WOS:000400192600090,View Full Record in Web of Science
C,"Wang, Y; Han, XQ; Liu, Z; Luo, DS; Wu, XH",,,IEEE,"Wang, Yi; Han, Xiaoqiang; Liu, Zhan; Luo, Dingsheng; Wu, Xihong",,,Modelling Inter-Task Relations to Transfer Robot Skills with Three-way RBMs,2015 IEEE INTERNATIONAL CONFERENCE ON MECHATRONICS AND AUTOMATION,,,,,IEEE International Conference on Mechatronics & Automation,"AUG 02-05, 2015","Beijing, PEOPLES R CHINA","Beijing Inst Tech,Tianjian Univ Technol,HIT,Robot Soc Japan,JSME,SICE,UEC,CAA,Chinese Mech Engn Soc,CIE Life Elect Soc",,,,,,,,,,,,,,,,,,,,,,,,,978-1-4799-7098-8,,,,2015,,,,,,,1276,1282,,,,,,,,,,,,,,,,WOS:000380447600224,View Full Record in Web of Science
J,"Fu, JY; Jin, ZH; Liu, AD; Zhang, WA; Yu, L",,,,"Fu, Jiayun; Jin, Zhehao; Liu, Andong; Zhang, Wen-An; Yu, Li",,,Non-parametric Gaussian process movement primitive with via-point constraint for effective and safe robot skill learning,NEUROCOMPUTING,,,,,,,,,,,,,,,,,"Jin, Zhehao/HOA-7661-2023","Jin, Zhehao/0000-0002-0871-9779; Fu, Jiayun/0009-0007-4824-007X",,,,,,,,,,,,,0925-2312,1872-8286,,,,JUL 7,2024,589,,,,,,,,127711,10.1016/j.neucom.2024.127711,http://dx.doi.org/10.1016/j.neucom.2024.127711,,APR 2024,,,,,,,,,,,WOS:001220965300002,View Full Record in Web of Science
C,"Pantano, M; Eiband, T; Lee, D",,,IEEE,"Pantano, Matteo; Eiband, Thomas; Lee, Dongheui",,,Capability-based Frameworks for Industrial Robot Skills: a Survey,2022 IEEE 18TH INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING (CASE),IEEE International Conference on Automation Science and Engineering,,,,IEEE 18th International Conference on Automation Science and Engineering (IEEE CASE),"AUG 20-24, 2022","Mexico City, MEXICO",IEEE,,,,,,,,,,"Pantano, Matteo/0000-0002-5420-0038",,,,,,,,,,,,,2161-8070,,978-1-6654-9042-9,,,,2022,,,,,,,2355,2362,,10.1109/CASE49997.2022.9926648,http://dx.doi.org/10.1109/CASE49997.2022.9926648,,,,,,,,,,,,,WOS:000927622400273,View Full Record in Web of Science
C,"Maeda, Y; Ushioda, T",,"Lee, S; Suarez, R; Choi, BW",,"Maeda, Yusuke; Ushioda, Tatsuya",,,Modeling of Two-Fingered Pivoting Skill Based on CPG,FRONTIERS OF ASSEMBLY AND MANUFACTURING,,,,,8th IEEE International Symposium on Assembly and Manufacturing (ISAM),"NOV 17-20, 2009","Seoul, SOUTH KOREA","IEEE Robotics & Automat Soc,Inst Control Robot & Syst,Korea Inst Ind Technol,Korean Soc Precis Engn,Korean Robot Soc,Korean Soc CAD/CAM Engn",,,,,,,,,"Maeda, Yusuke/E-2233-2011","Maeda, Yusuke/0000-0002-9654-6117",,,,,,,,,,,,,,,978-3-642-14115-7,,,,2010,,,,,,,85,95,,10.1007/978-3-642-14116-4_7,http://dx.doi.org/10.1007/978-3-642-14116-4_7,,,,,,,,,,,,,WOS:000395046700007,View Full Record in Web of Science
