Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Liang, XY; Jin, CC; Zhang, WA",,,IEEE,"Liang, Xin-Yu; Jin, Cong-Cong; Zhang, Wen-An",,,A Robot Skill Learning Method with Obstacle Avoidance Ability Based on Dynamic System Approach,2022 INTERNATIONAL CONFERENCE ON ADVANCED ROBOTICS AND MECHATRONICS (ICARM 2022),,,,,7th IEEE International Conference on Advanced Robotics and Mechatronics,"JUL 09-11, 2022","Guilin, PEOPLES R CHINA","Guangxi Univ,Foshan Univ,So Univ Sci & Technol,IEEE Robot & Automat Soc,IEEE Syst Man & Cybernet Soc,IEEE RAS Tech Comm Neuro Robot Syst,IEEE SMC Tech Comm Bio Mechatron & Bio Robot Syst,Chinese Assoc Automat, Tech Comm Robot Intelligence,Beijing Inst Technol Press,MDPI, Machines,Springer,MDPI, Actuators,Gaitech Robot,Beijing Nokov Sci & Technol Co Ltd",,,,,,,,,,,,,,,,,,,,,,,,,978-1-6654-8306-3,,,,2022,,,,,,,702,706,,10.1109/ICARM54641.2022.9959491,http://dx.doi.org/10.1109/ICARM54641.2022.9959491,,,,,,,,,,,,,WOS:000926398000114,View Full Record in Web of Science
C,"Wang, C; Vungarala, D; Navarro, K; Adwani, N; Han, T",,,IEEE,"Wang, Cong; Vungarala, Deepak; Navarro, Kevin; Adwani, Neel; Han, Tao",,,The Pinch Sensor: An Input Device for In-Hand Manipulation with the Index Finger and Thumb,"2023 IEEE/ASME INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS, AIM",IEEE ASME International Conference on Advanced Intelligent Mechatronics,,,,IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),"JUN 28-30, 2023","Seattle, WA","IEEE,ASME",,,,,,,,,"Adwani, Neel/LIF-6612-2024",,,,,,,,,,,,,,2159-6255,,978-1-6654-7633-1,,,,2023,,,,,,,822,827,,10.1109/AIM46323.2023.10196268,http://dx.doi.org/10.1109/AIM46323.2023.10196268,,,,,,,,,,,,,WOS:001051263900114,View Full Record in Web of Science
J,"LIU, S; ASADA, H",,,,"LIU, S; ASADA, H",,,TRANSFERRING MANIPULATIVE SKILLS TO ROBOTS - REPRESENTATION AND ACQUISITION OF TOOL MANIPULATIVE SKILLS USING A PROCESS DYNAMICS MODEL,JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0022-0434,,,,,JUN,1992,114,2,,,,,220,228,,10.1115/1.2896518,http://dx.doi.org/10.1115/1.2896518,,,,,,,,,,,,,WOS:A1992JB60300006,View Full Record in Web of Science
C,"Le, AT; Guo, M; van Duijkeren, N; Rozo, L; Krug, R; Kupcsik, AG; Bürger, M",,,IEEE,"Le, An T.; Guo, Meng; van Duijkeren, Niels; Rozo, Leonel; Krug, Robert; Kupcsik, Andras G.; Buerger, Mathias",,,Learning Forceful Manipulation Skills from Multi-modal Human Demonstrations,2021 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"SEP 27-OCT 01, 2021",ELECTR NETWORK,"IEEE,RSJ",,,,,,,,,"Le, An/KVA-4432-2024; Rozo, Leonel/HTP-2045-2023",,,,,,,,,,,,,,2153-0858,,978-1-6654-1714-3,,,,2021,,,,,,,7770,7777,,10.1109/IROS51168.2021.9636828,http://dx.doi.org/10.1109/IROS51168.2021.9636828,,,,,,,,,,,,,WOS:000755125506025,View Full Record in Web of Science
J,"Rizwan, M; Reichenbach, C; Caldas, R; Mayr, M; Krueger, V",,,,"Rizwan, Momina; Reichenbach, Christoph; Caldas, Ricardo; Mayr, Matthias; Krueger, Volker",,,EzSkiROS: enhancing robot skill composition with embedded DSL for early error detection,FRONTIERS IN ROBOTICS AND AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296-9144,,,,,JAN 3,2025,11,,,,,,,,1363443,10.3389/frobt.2024.1363443,http://dx.doi.org/10.3389/frobt.2024.1363443,,,,,,,,39831284,,,,,WOS:001397003500001,View Full Record in Web of Science
C,"Dong, S; Naghdy, F",,,IEEE,"Dong, Shen; Naghdy, Fazel",,,Application of competitive clustering to acquisition of human manipulation skills acquisition,"2006 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS, VOLS 1-5",IEEE International Conference on Fuzzy Systems,,,,IEEE International Conference on Fuzzy Systems,"JUL 16-21, 2006","Vancouver, CANADA",IEEE,,,,,,,,,,,,,,,,,,,,,,,1098-7584,,978-0-7803-9488-9,,,,2006,,,,,,,78,+,,,,,,,,,,,,,,,,WOS:000244063600013,View Full Record in Web of Science
C,"Stenmark, M",,"Jaeger, M; Nielsen, TD; Viappiani, P",,"Stenmark, Maj",,,Industrial Robot Skills,TWELFTH SCANDINAVIAN CONFERENCE ON ARTIFICIAL INTELLIGENCE (SCAI 2013),Frontiers in Artificial Intelligence and Applications,,,,12th Scandinavian Conference on Artificial Intelligence (SCAI),"NOV 20-22, 2013","Aalborg, DENMARK","Otto Monsteds Fond,Dezide ApS,Hugin Expert A S,Verdande Technol AS",,,,,,,,,,,,,,,,,,,,,,,0922-6389,,978-1-61499-330-8; 978-1-61499-329-2,,,,2013,257,,,,,,295,298,,10.3233/978-1-61499-330-8-295,http://dx.doi.org/10.3233/978-1-61499-330-8-295,,,,,,,,,,,,,WOS:000343477100032,View Full Record in Web of Science
C,"Bharadhwaj, H; Gupta, A; Kumar, V; Tulsiani, S",,,IEEE,"Bharadhwaj, Homanga; Gupta, Abhinav; Kumar, Vikash; Tulsiani, Shubham",,,Towards Generalizable Zero-Shot Manipulation via Translating Human Interaction Plans,"2024 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, ICRA 2024",IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 13-17, 2024","Yokohama, JAPAN","IEEE,IEEE Robot & Automat Soc",,,,,,,,,"Bharadhwaj, Homanga/LQK-7079-2024",,,,,,,,,,,,,,1050-4729,2577-087X,979-8-3503-8458-1; 979-8-3503-8457-4,,,,2024,,,,,,,6904,6911,,10.1109/ICRA57147.2024.10610288,http://dx.doi.org/10.1109/ICRA57147.2024.10610288,,,,,,,,,,,,,WOS:001294576205022,View Full Record in Web of Science
J,"Yamamoto, T; Mori, S; Sakaguchi, A",,,,"Yamamoto, Toru; Mori, Shinnosuke; Sakaguchi, Akihiro",,,DATA-DRIVEN SKILL-BASED PID CONTROL OF A PILOT-SCALE HELICOPTER MODEL,INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING INFORMATION AND CONTROL,,,,,"2nd International Conference on Innovative Computing, Information and Control (ICICIC 2007)","SEP 05-07, 2007","Kumamoto, JAPAN",,,,,,,,,,"Yamamoto, Toru/D-8818-2011","Yamamoto, Toru/0000-0001-6500-8394",,,,,,,,,,,,,1349-4198,1349-418X,,,,DEC,2008,4,12,,,,,3349,3358,,,,,,,,,,,,,,,,WOS:000261409800024,View Full Record in Web of Science
C,"García, DH; Monje, CA; Balaguer, C",,,IEEE,"Hernandez Garcia, Daniel; Monje, Concepcion A.; Balaguer, Carlos",,,Generation and Adaptation of Robot Skills Models,2014 14TH IEEE-RAS INTERNATIONAL CONFERENCE ON HUMANOID ROBOTS (HUMANOIDS),IEEE-RAS International Conference on Humanoid Robots,,,,14th IEEE-RAS International Conference on Humanoid Robots (Humanoids),"NOV 18-20, 2014","Madrid, SPAIN",IEEE RAS,,,,,,,,,,"BALAGUER, CARLOS/0000-0003-4864-4625",,,,,,,,,,,,,2164-0572,,978-1-4799-7174-9,,,,2014,,,,,,,173,178,,,,,,,,,,,,,,,,WOS:000392843800029,View Full Record in Web of Science
