Year,Count
1959,1
1963,1
1982,1
1983,1
1988,5
1989,3
1990,4
1991,5
1992,8
1993,16
1994,19
1995,8
1996,12
1997,8
1998,20
1999,9
2000,9
2001,10
2002,12
2003,15
2004,16
2005,9
2006,15
2007,21
2008,23
2009,26
2010,37
2011,44
2012,32
2013,59
2014,67
2015,78
2016,86
2017,84
2018,82
2019,120
2020,145
2021,134
2022,177
2023,185
2024,220
2025,33
