Title,Year,DOI
Learning Force-Based Robot Skills from Haptic Demonstration,2010,10.3233/978-1-60750-643-0-331
A Novel Heterogeneous Actor-critic Algorithm with Recent Emphasizing Replay Memory,2021,10.1007/s11633-021-1296-x
SkillMaN - A skill-based robotic manipulation framework based on perception and reasoning,2020,10.1016/j.robot.2020.103653
Developmental Learning of Cooperative Robot Skills: A Hierarchical Multi-Agent Architecture,2011,10.1007/978-1-4419-1452-1_16
A Novel DMPs Framework for Robot Skill Generalizing With Obstacle Avoidance: Taking Volume and Orientation Into Consideration,2025,10.1109/TMECH.2024.3524207
A Consideration on Feature Extraction for Operation Skill Based on Control Engineering Approach,2016,
Modelling Inter-Task Relations to Transfer Robot Skills with Three-way RBMs,2015,
Non-parametric Gaussian process movement primitive with via-point constraint for effective and safe robot skill learning,2024,10.1016/j.neucom.2024.127711
Capability-based Frameworks for Industrial Robot Skills: a Survey,2022,10.1109/CASE49997.2022.9926648
Modeling of Two-Fingered Pivoting Skill Based on CPG,2010,10.1007/978-3-642-14116-4_7
"Learning neural-shaped quadratic Lyapunov function for stable, accurate and generalizable human-robot skills transfer",2023,10.1016/j.rcim.2023.102526
Translating Robot Skills: Learning Unsupervised Skill Correspondences Across Robots,2022,
Enabling Fast Instruction-Based Modification of Learned Robot Skills,2021,
Automatic Parameterization of Motion and Force Controlled Robot Skills,2022,10.1007/978-3-030-97672-9_7
Online assessment of computer vision and robotics skills based on a digital twin,2022,10.1109/EDUCON52537.2022.9766459
Model Predictive Actor-Critic: Accelerating Robot Skill Acquisition with Deep Reinforcement Learning,2021,10.1109/ICRA48506.2021.9561298
Extensive human training for robot skill synthesis: Validation on a robotic hand,2007,10.1109/ROBOT.2007.363581
Skill-based vehicle guidance by use of artificial neural networks,1996,10.1016/0378-4754(95)00076-3
Learning and Executing Primitive Skills Based on Adaptive Control,2020,10.1109/YAC51587.2020.9337683
A novel human-robot skill transfer method for contact-rich manipulation task,2023,10.1108/RIA-01-2023-0002
Skill-Based Architecture Development for Online Mission Reconfiguration and Failure Management,2021,10.1109/RoSE52553.2021.00015
Skill-based human-robot cooperation in tele-operated path tracking,2018,10.1007/s10514-017-9675-4
Skill Based Mentored Laparoscopy Course Participation Leads to Laparoscopic Practice Expansion and Assists in Transition to Robotic Surgery,2011,10.1016/j.juro.2011.07.007
"Scalable, Intuitive Human to Robot Skill Transfer with Wearable Human Machine Interfaces: On Complex, Dexterous Tasks",2023,10.1109/IROS55552.2023.10341661
Asking the Right Questions: Facilitating Semantic Constraint Specification for Robot Skill Learning and Repair,2021,10.1109/IROS51168.2021.9636375
A friendly online C compiler to improve programming skills based on student self-assessment,2015,10.1002/cae.21660
Virtual Ski Training System that Allows Beginners to Acquire Ski Skills Based on Physical and Visual Feedbacks,2023,10.1109/IROS55552.2023.10342020
A Surgeon's Operating Skills-Based Non-Interference Operation Detection Method for Novel Vascular Interventional Surgery Robot Systems,2020,10.1109/JSEN.2019.2960926
An Automatic Robot Skills Learning System from Robot's Real-World Demonstrations,2019,
Identification of Common Force-based Robot Skills from the Human and Robot Perspective,2021,10.1109/HUMANOIDS47582.2021.9555681
Fundamentals of robotic surgery: a course of basic robotic surgery skills based upon a 14-society consensus template of outcomes measures and curriculum development,2014,10.1002/rcs.1559
A Human-Like Learning Framework of Robot Interaction Skills Based on Environmental Dynamics,2021,10.1007/978-3-030-89092-6_55
A Skill-Based MILP Model in Cellular Manufacturing Systems with Human-Robot Collaboration,2022,10.1016/j.ifacol.2022.09.647
Combining Model-Based Q-Learning With Structural Knowledge Transfer for Robot Skill Learning,2019,10.1109/TCDS.2017.2718938
Applying Skill-based Engineering using OPC-UA in Production System with a Digital Twin,2021,10.1109/ISIE45552.2021.9576342
Programming by Interactive Demonstration for a Human Robot Collaborative Assembly,2020,10.1016/j.promfg.2020.10.022
Bootstrapping Robotic Skill Learning with Intuitive Teleoperation: Initial Feasibility Study,2024,10.1007/978-3-031-63596-0_5
State-of-the-Art control strategies for robotic PiH assembly,2020,10.1016/j.rcim.2019.101894
Learning compositional models of robot skills for task and motion planning,2021,10.1177/02783649211004615
Knowledge-Based Industrial Robotics,2013,10.3233/978-1-61499-330-8-265
Skill Robot Library: Intelligent Path Planning Framework for Object Manipulation,2017,
Learning robot anomaly recovery skills from multiple time-driven demonstrations,2021,10.1016/j.neucom.2021.08.036
A review of high-level robot functionality for elderly care,2018,
Kernelized gradient descent method for learning from demonstration,2023,10.1016/j.neucom.2023.126781
Generalization of orientation trajectories and force-torque profiles for learning human assembly skill,2022,10.1016/j.rcim.2022.102325
A skill fault model for autonomous systems,2022,10.1145/3526071.3527513
