Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Muhammad, W; Spratling, MW",,,,"Muhammad, Wasif; Spratling, Michael W.",,,A Neural Model of Coordinated Head and Eye Movement Control,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,,,,,,,,,,,,,,,,,"WASIF, MUHAMMAD/F-6102-2012; Spratling, Michael/G-7689-2011","Spratling, Michael/0000-0001-9531-2813; muhammad, wasif/0000-0002-4682-0085",,,,,,,,,,,,,0921-0296,1573-0409,,,,JAN,2017,85,1,,,,,107,126,,10.1007/s10846-016-0410-8,http://dx.doi.org/10.1007/s10846-016-0410-8,,,,,,,,,,,,,WOS:000392059800007,View Full Record in Web of Science
J,"Karpov, VE",,,,"Karpov, V. E.",,,Emotions and temperament of robots: Behavioral aspects,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,,,,,,,,,,,,,,,,,"Karpov, Valery/S-2039-2016","Karpov, Valery/0000-0002-9364-1223",,,,,,,,,,,,,1064-2307,1555-6530,,,,SEP,2014,53,5,,,,,743,760,,10.1134/S1064230714050098,http://dx.doi.org/10.1134/S1064230714050098,,,,,,,,,,,,,WOS:000343055300010,View Full Record in Web of Science
C,"Kästner, L; Marx, C; Lambrecht, J",,,IEEE,"Kaestner, Linh; Marx, Cornelius; Lambrecht, Jens",,,Deep-Reinforcement-Learning-Based Semantic Navigation of Mobile Robots in Dynamic Environments,2020 IEEE 16TH INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING (CASE),IEEE International Conference on Automation Science and Engineering,,,,16th IEEE International Conference on Automation Science and Engineering (CASE),"AUG 20-21, 2020",ELECTR NETWORK,IEEE,,,,,,,,,"Kästner, Linh/HOF-4003-2023",,,,,,,,,,,,,,2161-8070,,978-1-7281-6904-0,,,,2020,,,,,,,1110,1115,,10.1109/case48305.2020.9216798,http://dx.doi.org/10.1109/case48305.2020.9216798,,,,,,,,,,,,,WOS:000612200600159,View Full Record in Web of Science
C,"Huntsberger, T; Mataric, M; Pirjanian, P",,"McKee, GT; Schenker, PS",,"Huntsberger, T; Mataric, M; Pirjanian, P",,,Action selection within the context of a robotic colony,SENSOR FUSION AND DECENTRALIZED CONTROL IN ROBOTIC SYSTEMS II,PROCEEDINGS OF THE SOCIETY OF PHOTO-OPTICAL INSTRUMENTATION ENGINEERS (SPIE),,,,Sensor Fusion and Decentralized Control in Robotic Systems II Conference,"SEP 19-20, 1999","BOSTON, MA",SPIE,,,,,,,,,,,,,,,,,,,,,,,0277-786X,,0-8194-3432-9,,,,1999,3839,,,,,,84,90,,10.1117/12.360328,http://dx.doi.org/10.1117/12.360328,,,,,,,,,,,,,WOS:000083488800009,View Full Record in Web of Science
J,"Yalçinkaya, B; Couceiro, MS; Soares, SP; Valente, A",,,,"Yalcinkaya, Beril; Couceiro, Micael S.; Soares, Salviano Pinto; Valente, Antonio",,,Human-Aware Collaborative Robots in the Wild: Coping with Uncertainty in Activity Recognition,SENSORS,,,,,,,,,,,,,,,,,"Ferreira, Nuno/I-5154-2012; Valente, Antonio/G-6231-2012; Couceiro, Micael/G-4342-2010","Valente, Antonio/0000-0002-5798-1298; Pinto Soares, Salviano/0000-0001-5862-5706; Yalcinkaya, Beril/0000-0001-8411-722X; Couceiro, Micael/0000-0001-6641-6090",,,,,,,,,,,,,,1424-8220,,,,APR,2023,23,7,,,,,,,3388,10.3390/s23073388,http://dx.doi.org/10.3390/s23073388,,,,,,,,37050446,,,,,WOS:000970422400001,View Full Record in Web of Science
J,"Sung, H; Kim, H; Choi, J; Kim, H; Li, CZ; Cho, M",,,,"Sung, Heejun; Kim, Hyunsu; Choi, Joonmyung; Kim, Hongseok; Li, Chenzhe; Cho, Maenghyo",,,Structural design of soft robotics using a joint structure of photoresponsive polymers,SMART MATERIALS AND STRUCTURES,,,,,,,,,,,,,,,,,"Choi, Joonmyung/ACA-9138-2022; Choi, Joonmyung/G-5464-2014","Choi, Joonmyung/0000-0003-3673-8069",,,,,,,,,,,,,0964-1726,1361-665X,,,,MAY,2020,29,5,,,,,,,55032,10.1088/1361-665X/ab7f3f,http://dx.doi.org/10.1088/1361-665X/ab7f3f,,,,,,,,,,,,,WOS:000526678700001,View Full Record in Web of Science
J,"Rasouli, S; Dautenhahn, K; Nehaniv, CL",,,,"Rasouli, Samira; Dautenhahn, Kerstin; Nehaniv, Chrystopher L.",,,Simulation of a Bio-Inspired Flocking-Based Aggregation Behaviour in Swarm Robotics,BIOMIMETICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2313-7673,,,,NOV,2024,9,11,,,,,,,668,10.3390/biomimetics9110668,http://dx.doi.org/10.3390/biomimetics9110668,,,,,,,,39590240,,,,,WOS:001366691100001,View Full Record in Web of Science
C,"Liu, MQ; Zhou, HL",,"Zhang, SY; Wang, F",,Liu Man-qiang; Zhou Hong-li,,,Elman neural network controller for behavior-based robot,Proceedings of 2006 Chinese Control and Decision Conference,,,,,18th Chinese Control and Decision Conference,"JUL 27-30, 2006","Tianjin, PEOPLES R CHINA",,,,,,,,,,"Liu, Manqiang/G-6566-2012",,,,,,,,,,,,,,,,978-7-81102-262-9,,,,2006,,,,,,,1329,1332,,,,,,,,,,,,,,,,WOS:000244066100347,View Full Record in Web of Science
C,"Tylman, W",,"Zamojski, W; Mazurkiewicz, J; Sugier, J; Wallowiak, T",,"Tylman, Wojciech",,,Anomaly-based intrusion detection using Bayesian networks,DEPCOS - RELCOMEX 2008: PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON DEPENDABILITY OF COMPUTER SYSTEMS,,,,,International Conference on Dependability of Computer Systems,"JUN 26-28, 2008","Szklarska Poreba, POLAND","Inst Comp Engineers, Control & Robot,Wroclaw Univ Technol,Moscow Power Engn Inst",,,,,,,,,"Tylman, Wojciech/V-4453-2018","Tylman, Wojciech/0000-0002-6084-469X",,,,,,,,,,,,,,,978-0-7695-3179-3,,,,2008,,,,,,,211,+,,10.1109/DepCoS-RELCOMEX.2008.52,http://dx.doi.org/10.1109/DepCoS-RELCOMEX.2008.52,,,,,,,,,,,,,WOS:000258326900027,View Full Record in Web of Science
J,"Bu, YJ; Yan, Y; Yang, YN",,,,"Bu, Yajun; Yan, Ye; Yang, Yueneng",,,Advancement Challenges in UAV Swarm Formation Control: A Comprehensive Review,DRONES,,,,,,,,,,,,,,,,,,"Yang, Yueneng/0000-0002-7064-4229",,,,,,,,,,,,,,2504-446X,,,,JUL,2024,8,7,,,,,,,320,10.3390/drones8070320,http://dx.doi.org/10.3390/drones8070320,,,,,,,,,,,,,WOS:001277307800001,View Full Record in Web of Science
