Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Sorbi, L; De Capua, GP; Fontaine, JG; Toni, L",,,,"Sorbi, Laura; De Capua, Graziano Pio; Fontaine, Jean-Guy; Toni, Laura",,,A Behavior-Based Mission Planner for Cooperative Autonomous Underwater Vehicles,MARINE TECHNOLOGY SOCIETY JOURNAL,,,,,,,,,,,,,,,,,,"Toni, Laura/0000-0002-8441-8791",,,,,,,,,,,,,0025-3324,1948-1209,,,,MAR-APR,2012,46,2,,,,,32,44,,10.4031/MTSJ.46.2.5,http://dx.doi.org/10.4031/MTSJ.46.2.5,,,,,,,,,,,,,WOS:000303963900003,View Full Record in Web of Science
J,"Daucé, E; Quoy, M; Doyon, B",,,,"Daucé, E; Quoy, M; Doyon, B",,,Resonant spatiotemporal learning in large random recurrent networks,BIOLOGICAL CYBERNETICS,,,,,,,,,,,,,,,,,"Dauce, Emmanuel/O-6533-2016","Dauce, Emmanuel/0000-0001-6596-8168",,,,,,,,,,,,,0340-1200,1432-0770,,,,SEP,2002,87,3,,,,,185,198,,10.1007/s00422-002-0315-4,http://dx.doi.org/10.1007/s00422-002-0315-4,,,,,,,,12200614,,,,,WOS:000178406500003,View Full Record in Web of Science
C,"Montgomery, JF; Bekey, GA",,,IEEE; IEEE,"Montgomery, JF; Bekey, GA",,,Learning helicopter control through teaching by showing,"PROCEEDINGS OF THE 37TH IEEE CONFERENCE ON DECISION AND CONTROL, VOLS 1-4",IEEE CONFERENCE ON DECISION AND CONTROL - PROCEEDINGS,,,,37th IEEE Conference on Decision and Control,"DEC 16-18, 1998","TAMPA, FL","IEEE Control Syst Soc,Soc Ind & Appl Math,Inst Operat Res & Management Sci",,,,,,,,,,,,,,,,,,,,,,,0191-2216,,0-7803-4394-8,,,,1998,,,,,,,3647,3652,,,,,,,,,,,,,,,,WOS:000079708900709,View Full Record in Web of Science
J,"Kim, Y; Yoon, WC",,,,"Kim, Yochan; Yoon, Wan C.",,,Generating Task-Oriented Interactions of Service Robots,IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,,,,,,,,,,,,,,,,,"kim, yochan/R-9189-2019; Yoon, Wan/C-1982-2011",,,,,,,,,,,,,,2168-2216,2168-2232,,,,AUG,2014,44,8,,,,,981,994,,10.1109/TSMC.2014.2298214,http://dx.doi.org/10.1109/TSMC.2014.2298214,,,,,,,,,,,,,WOS:000342278500001,View Full Record in Web of Science
C,"Likhachev, M; Kaess, M; Arkin, RC",,,IEEE; IEEE; IEEE,"Likhachev, M; Kaess, M; Arkin, RC",,,Learning behavioral parameterization using spatio-temporal Case-Based Reasoning,"2002 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, VOLS I-IV, PROCEEDINGS",,,,,19th IEEE International Conference on Robotics and Automation (ICRA),"MAY 11-15, 2002","WASHINGTON, DC",IEEE Robot & Automat Soc,,,,,,,,,,"Kaess, Michael/0000-0002-7590-3357",,,,,,,,,,,,,,,0-7803-7272-7,,,,2002,,,,,,,1282,1289,,,,,,,,,,,,,,,,WOS:000178573200202,View Full Record in Web of Science
J,"Huber, E; Kortenkamp, D",,,,"Huber, E; Kortenkamp, D",,,A behavior-based approach to active stereo vision for mobile robots,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0952-1976,1873-6769,,,,APR,1998,11,2,,,,,229,243,,10.1016/S0952-1976(97)00078-X,http://dx.doi.org/10.1016/S0952-1976(97)00078-X,,,,,,,,,,,,,WOS:000074541700007,View Full Record in Web of Science
S,"Brenner, M; Nebel, B",,"Prassler, E; Bischoff, R; Burgard, W; Haschke, R; Hagele, M; Lawitzky, G; Nebel, B; Ploger, P; Reiser, U; Zollner, M",,"Brenner, Michael; Nebel, Bernhard",,,Continual Multiagent Planning,TOWARDS SERVICE ROBOTS FOR EVERYDAY ENVIRONMENTS: RECENT ADVANCES IN DESIGNING SERVICE ROBOTS FOR COMPLEX TASKS IN EVERYDAY ENVIRONMENTS,Springer Tracts in Advanced Robotics,,,,,,,,,,,,,,,,,"Nebel, Bernhard/0000-0002-6833-6323",,,,,,,,,,,,,1610-7438,1610-742X,978-3-642-25116-0; 978-3-642-25115-3,,,,2012,76,,,,,,77,97,,,,10.1007/978-3-642-25116-0,,,,,,,,,,,,WOS:000304281800008,View Full Record in Web of Science
J,"Krichmar, JL",,,,"Krichmar, Jeffrey L.",,,Design principles for biologically inspired cognitive robotics,BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES,,,,,,,,,,,,,,,,,,"Krichmar, Jeffrey/0000-0003-0739-2468",,,,,,,,,,,,,2212-683X,2212-6848,,,,JUL,2012,1,,,,,,73,81,,10.1016/j.bica.2012.04.003,http://dx.doi.org/10.1016/j.bica.2012.04.003,,,,,,,,,,,,,WOS:000209359300008,View Full Record in Web of Science
J,"Toal, DJF; Flanagan, C; Lyons, WB; Nolan, S; Lewis, E",,,,"Toal, DJF; Flanagan, C; Lyons, WB; Nolan, S; Lewis, E",,,Proximal object and hazard detection for autonomous underwater vehicle with optical fibre sensors,ROBOTICS AND AUTONOMOUS SYSTEMS,,,,,,,,,,,,,,,,,"Toal, Daniel/B-4149-2015; Lewis, Elfed/H-5125-2013","Toal, Daniel/0000-0003-3601-9216; Nolan, Sean Patrick/0009-0002-4343-2762; Lyons, William/0000-0002-1366-3925; Lewis, Elfed/0000-0003-4174-7090",,,,,,,,,,,,,0921-8890,1872-793X,,,,DEC 31,2005,53,3-4,,,,,214,229,,10.1016/j.robot.2005.09.007,http://dx.doi.org/10.1016/j.robot.2005.09.007,,,,,,,,,,,,,WOS:000234063800005,View Full Record in Web of Science
J,"Lobschat, L; Mueller, B; Eggers, F; Brandimarte, L; Diefenbach, S; Kroschke, M; Wirtz, J",,,,"Lobschat, Lara; Mueller, Benjamin; Eggers, Felix; Brandimarte, Laura; Diefenbach, Sarah; Kroschke, Mirja; Wirtz, Jochen",,,Corporate digital responsibility,JOURNAL OF BUSINESS RESEARCH,,,,,,,,,,,,,,,,,"Diefenbach, Sarah/M-3396-2014; Lobschat, Lara/JHT-7610-2023; Wirtz, Jochen/P-3235-2015; Mueller, Benjamin/M-9296-2013","Wirtz, Jochen/0000-0002-6297-4498; Eggers, Felix/0000-0001-9753-1227; Diefenbach, Sarah/0000-0002-4347-5028; Mueller, Benjamin/0000-0002-3464-3974; Lobschat, Lara/0000-0002-2092-0133",,,,,,,,,,,,,0148-2963,1873-7978,,,,JAN,2021,122,,,,,,875,888,,10.1016/j.jbusres.2019.10.006,http://dx.doi.org/10.1016/j.jbusres.2019.10.006,,,,,,,,,,,,,WOS:000590682800030,View Full Record in Web of Science
