Year,Count
1986,1
1989,3
1990,7
1991,9
1992,30
1993,44
1994,45
1995,59
1996,55
1997,75
1998,115
1999,88
2000,112
2001,85
2002,106
2003,113
2004,123
2005,117
2006,146
2007,164
2008,140
2009,190
2010,206
2011,146
2012,153
2013,149
2014,152
2015,119
2016,121
2017,128
2018,109
2019,97
2020,104
2021,131
2022,83
2023,87
2024,124
2025,26
