Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Kotecha, P; Sinha, P; Govindan, N",,,IEEE,"Kotecha, Prakrut; Sinha, Priyansh; Govindan, Nagamanikandan",,,"A Hierarchical Manipulation Planning Framework Combining Striking, Pushing, and Pick & Place Motion Primitives","2024 IEEE 20TH INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING, CASE 2024",IEEE International Conference on Automation Science and Engineering,,,,IEEE 20th International Conference on Automation Science and Engineering (CASE),"AUG 28-SEP 01, 2024","Bari, ITALY",IEEE,,,,,,,,,,,,,,,,,,,,,,,2161-8070,,979-8-3503-5851-3; 979-8-3503-5852-0,,,,2024,,,,,,,956,961,,10.1109/CASE59546.2024.10711645,http://dx.doi.org/10.1109/CASE59546.2024.10711645,,,,,,,,,,,,,WOS:001361783100120,View Full Record in Web of Science
C,"Yang, SM; Magnusson, M; Stork, JA; Stoyanov, T",,,IEEE,"Yang, Shih-Min; Magnusson, Martin; Stork, Johannes A.; Stoyanov, Todor",,,Learning Extrinsic Dexterity with Parameterized Manipulation Primitives,"2024 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, ICRA 2024",IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 13-17, 2024","Yokohama, JAPAN","IEEE,IEEE Robot & Automat Soc",,,,,,,,,"Stoyanov, Todor/K-8999-2013; Magnusson, Martin/E-1750-2011",,,,,,,,,,,,,,1050-4729,2577-087X,979-8-3503-8458-1; 979-8-3503-8457-4,,,,2024,,,,,,,5404,5410,,10.1109/ICRA57147.2024.10611431,http://dx.doi.org/10.1109/ICRA57147.2024.10611431,,,,,,,,,,,,,WOS:001294576204026,View Full Record in Web of Science
C,"Liarokapis, M; Dollar, AM",,"Bicchi, A; Okamura, A",,"Liarokapis, Minas; Dollar, Aaron M.",,,"Deriving Dexterous, In-Hand Manipulation Primitives for Adaptive Robot Hands",2017 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"SEP 24-28, 2017","Vancouver, CANADA","IEEE,RSJ,IEEE Robot & Automat Soc,IEEE IES,SICE,New Technol Fdn",,,,,,,,,"Liarokapis, Minas/E-1990-2015",,,,,,,,,,,,,,2153-0858,,978-1-5386-2682-5,,,,2017,,,,,,,1943,1950,,,,,,,,,,,,,,,,WOS:000426978202039,View Full Record in Web of Science
C,"Gupta, M; Sukhatme, GS",,,IEEE,"Gupta, Megha; Sukhatme, Gaurav S.",,,Using Manipulation Primitives for Brick Sorting in Clutter,2012 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 14-18, 2012","St Paul, MN",IEEE,,,,,,,,,,,,,,,,,,,,,,,1050-4729,2577-087X,978-1-4673-1405-3,,,,2012,,,,,,,3883,3889,,,,,,,,,,,,,,,,WOS:000309406703147,View Full Record in Web of Science
S,"Kröger, T; Finkemeyer, B; Wahl, FM",,"Schutz, D; Wahl, FM",,"Kroeger, Torsten; Finkemeyer, Bernd; Wahl, Friedrich M.",,,Manipulation Primitives - A Universal Interface between Sensor-Based Motion Control and Robot Programming,ROBOTIC SYSTEMS FOR HANDLING AND ASSEMBLY,Springer Tracts in Advanced Robotics,,,,,,,,,,,,,,,,"Wahl, Friedrich/Q-4009-2017",,,,,,,,,,,,,,1610-7438,,978-3-642-16784-3,,,,2010,67,,,,,,293,313,,,,,,,,,,,,,,,,WOS:000285167600017,View Full Record in Web of Science
C,"Doshi, N; Hogan, FR; Rodriguez, A",,,IEEE,"Doshi, Neel; Hogan, Francois R.; Rodriguez, Alberto",,,Hybrid Differential Dynamic Programming for Planar Manipulation Primitives,2020 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 31-JUN 15, 2020",ELECTR NETWORK,IEEE,,,,,,,,,,,,,,,,,,,,,,,1050-4729,2577-087X,978-1-7281-7395-5,,,,2020,,,,,,,6759,6765,,10.1109/icra40945.2020.9197414,http://dx.doi.org/10.1109/icra40945.2020.9197414,,,,,,,,,,,,,WOS:000712319504076,View Full Record in Web of Science
C,"Dang, H; Allen, PK",,,IEEE,"Dang, Hao; Allen, Peter K.",,,Robot Learning of Everyday Object Manipulations via Human Demonstration,IEEE/RSJ 2010 INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS 2010),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems,"OCT 18-22, 2010","Taipei, TAIWAN",,,,,,,,,,,,,,,,,,,,,,,,2153-0858,,978-1-4244-6675-7,,,,2010,,,,,,,1284,1289,,10.1109/IROS.2010.5651244,http://dx.doi.org/10.1109/IROS.2010.5651244,,,,,,,,,,,,,WOS:000287672001098,View Full Record in Web of Science
C,"Lynch, KM",,,IEEE; IEEE,"Lynch, KM",,,Toppling manipulation,"ICRA '99: IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, VOLS 1-4, PROCEEDINGS",,,,,International Conference on Robotics and Automation (ICRA '99),"MAY 10-15, 1999","DETROIT, MI","IEEE, Robot & Automat Soc",,,,,,,,,"Lynch, Kevin/B-7600-2009",,,,,,,,,,,,,,,,0-7803-5181-9,,,,1999,,,,,,,2551,2557,,,,,,,,,,,,,,,,WOS:000081625700404,View Full Record in Web of Science
S,"Thomas, U; Wahl, FM",,"Schutz, D; Wahl, FM",,"Thomas, Ulrike; Wahl, Friedrich M.",,,Assembly Planning and Task Planning-Two Prerequisites for Automated Robot Programming,ROBOTIC SYSTEMS FOR HANDLING AND ASSEMBLY,Springer Tracts in Advanced Robotics,,,,,,,,,,,,,,,,"Wahl, Friedrich/Q-4009-2017",,,,,,,,,,,,,,1610-7438,1610-742X,978-3-642-16784-3,,,,2010,67,,,,,,333,354,,,,,,,,,,,,,,,,WOS:000285167600019,View Full Record in Web of Science
C,"Moll, M; Goldberg, K; Erdmann, MA; Fearing, R",,,IEEE; IEEE; IEEE,"Moll, M; Goldberg, K; Erdmann, MA; Fearing, R",,,Orienting micro-scale parts with squeeze and roll primitives,"2002 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, VOLS I-IV, PROCEEDINGS",,,,,19th IEEE International Conference on Robotics and Automation (ICRA),"MAY 11-15, 2002","WASHINGTON, DC",IEEE Robot & Automat Soc,,,,,,,,,"Moll, Mark/M-3574-2019; Moll, Mark/A-1776-2011","Fearing, Ronald/0000-0001-6242-5379; Moll, Mark/0000-0002-0451-2797; Goldberg, Ken/0000-0001-6747-9499",,,,,,,,,,,,,,,0-7803-7272-7,,,,2002,,,,,,,1931,1936,,,,,,,,,,,,,,,,WOS:000178573200303,View Full Record in Web of Science
