Year,Count
1992,1
1993,1
1996,2
1997,1
1998,2
1999,2
2000,1
2001,1
2002,2
2004,1
2005,3
2006,3
2007,2
2008,4
2010,9
2011,3
2012,5
2013,1
2014,6
2015,6
2016,7
2017,5
2018,7
2019,10
2020,6
2021,8
2022,9
2023,13
2024,7
