Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Learning Performance in Evolutionary Behavior Based Mobile Robot Navigation,MICAI 2007: Advances in Artificial Intelligence,,,,10.1007/978-3-540-76631-5_77,Tomás Arredondo V.Wolfgang FreundCésar MuñozFernando Quirós,2007,https://link.springer.com/chapter/10.1007/978-3-540-76631-5_77,Conference paper
Extension Approach for the Behaviour-Based Control System of the Outdoor Robot RAVON,Autonome Mobile Systeme 2005,,,,10.1007/3-540-30292-1_19,Bernd Helge SchäferMartin ProetzschKarsten Berns,2006,https://link.springer.com/chapter/10.1007/3-540-30292-1_19,Conference paper
Hierarchical Fuzzy Behavior-Based Control Method for Autonomous Mobile Robot Navigation,Advances in Machine Learning and Cybernetics,,,,10.1007/11739685_11,Shou-tao LiYuan-chun Li,2006,https://link.springer.com/chapter/10.1007/11739685_11,Conference paper
Concepts and Fuzzy Models for Behavior-Based Robotics,Fuzzy Logic and Applications,,,,10.1007/10983652_10,Andrea BonariniMatteo MatteucciMarcello Restelli,2006,https://link.springer.com/chapter/10.1007/10983652_10,Conference paper
Behavior-Based Vision on a 4 Legged Soccer Robot,RoboCup 2005: Robot Soccer World Cup IX,,,,10.1007/11780519_44,Floris MantzPieter JonkerWouter Caarls,2006,https://link.springer.com/chapter/10.1007/11780519_44,Conference paper
"Sound Source Detection System for Control of an Autonomous Mobile Robot, a Behaviour-Based Approach",Romansy 16,,,,10.1007/3-211-38927-X_43,Johanna Lantto,2006,https://link.springer.com/chapter/10.1007/3-211-38927-X_43,Chapter
Knowledge Representation in a Behavior-Based Natural Language Interface for Human-Robot Communication,Computational Intelligence,,,,10.1007/978-3-540-37275-2_91,Fangju Wang,2006,https://link.springer.com/chapter/10.1007/978-3-540-37275-2_91,Conference paper
A Fuzzy Behavior-Based Control for Mobile Robots Using Adaptive Fusion Units,Journal of Intelligent and Robotic Systems,,,,10.1007/s10846-004-3025-4,Keigo WatanabeKiyotaka IzumiJunnosuke MakiKatsuharu Fujimoto,2005,https://link.springer.com/article/10.1007/s10846-004-3025-4,Article
Behavior-Based Blind Goal-Oriented Robot Navigation by Fuzzy Logic,Knowledge-Based Intelligent Information and Engineering Systems,,,,10.1007/11552413_98,Meng WangJames N. K. Liu,2005,https://link.springer.com/chapter/10.1007/11552413_98,Conference paper
A Neuro-fuzzy Controller for Reactive Navigation of a Behaviour-Based Mobile Robot,Advances in Neural Networks – ISNN 2005,,,,10.1007/11427469_41,Anmin ZhuSimon X. YangFangju WangGauri S. Mittal,2005,https://link.springer.com/chapter/10.1007/11427469_41,Conference paper
Evolutionary Behavior-Based Control of Mobile Robots,Evolutionary Computations,,,,10.1007/978-3-540-39883-7_7,Keigo WatanabeM. M. A. Hashem,2004,https://link.springer.com/chapter/10.1007/978-3-540-39883-7_7,Chapter
Model and Behavior-Based Robotic Goalkeeper,RoboCup 2003: Robot Soccer World Cup VII,,,,10.1007/978-3-540-25940-4_15,Hans LausenJakob NielsenMichael NielsenPedro Lima,2004,https://link.springer.com/chapter/10.1007/978-3-540-25940-4_15,Conference paper
Real time behavior-based control on a mobile robot,Journal of Shanghai University (English Edition),,,,10.1007/s11741-003-0039-2,Koota MuzyambaQian Jin-WuShen Lin-YongZhang Ya-Nan,2003,https://link.springer.com/article/10.1007/s11741-003-0039-2,Article
An Overview on Soft Computing in Behavior Based Robotics,Fuzzy Sets and Systems — IFSA 2003,,,,10.1007/3-540-44967-1_65,Frank Hoffmann,2003,https://link.springer.com/chapter/10.1007/3-540-44967-1_65,Conference paper
Some Approaches for Reusing Behaviour Based Robot Cognitive Architectures Obtained Through Evolution,Biologically Inspired Robot Behavior Engineering,,,,10.1007/978-3-7908-1775-1_9,R. J. DuroJ. SantosJ. A. Becerra,2003,https://link.springer.com/chapter/10.1007/978-3-7908-1775-1_9,Chapter
The Queen Robots: Behaviour-Based Situated Robots Solving the N-Queens Puzzle,Advances in Artificial Intelligence,,,,10.1007/3-540-36127-8_13,Paulo UrbanoLuís MonizHelder Coelho,2002,https://link.springer.com/chapter/10.1007/3-540-36127-8_13,Conference paper
