Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Kim, G; Chung, WJ; Kim, M",,,IEEE,"Kim, G; Chung, WJ; Kim, M",,,A selection framework of multiple navigation primitives using Generalized Stochastic Petri Nets,"2005 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA), VOLS 1-4",IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"APR 18-22, 2005","Barcelona, SPAIN",IEEE,,,,,,,,,,,,,,,,,,,,,,,1050-4729,2577-087X,0-7803-8914-X,,,,2005,,,,,,,3790,3795,,,,,,,,,,,,,,,,WOS:000235460103038,View Full Record in Web of Science
J,"Rañó, I",,,,"Rano, Inaki",,,Biologically inspired navigation primitives,ROBOTICS AND AUTONOMOUS SYSTEMS,,,,,,,,,,,,,,,,,"Rano, Inaki/I-2557-2012","Rano, Inaki/0000-0002-0461-0258",,,,,,,,,,,,,0921-8890,1872-793X,,,,OCT,2014,62,10,,,,,1361,1370,,10.1016/j.robot.2014.06.008,http://dx.doi.org/10.1016/j.robot.2014.06.008,,,,,,,,,,,,,WOS:000341464300002,View Full Record in Web of Science
C,"Zhao, C; Sun, L; Krajník, T; Duckett, T; Yan, Z",,,IEEE,"Zhao, Cheng; Sun, Li; Krajnik, Tomas; Duckett, Tom; Yan, Zhi",,,Monocular Teach-and-Repeat Navigation using a Deep Steering Network with Scale Estimation,2021 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"SEP 27-OCT 01, 2021",ELECTR NETWORK,"IEEE,RSJ",,,,,,,,,"Yan, Zhi/ITT-3460-2023; Krajnik, Tomas/GQO-9534-2022","Yan, Zhi/0000-0001-8251-9786",,,,,,,,,,,,,2153-0858,,978-1-6654-1714-3,,,,2021,,,,,,,2613,2619,,10.1109/IROS51168.2021.9635912,http://dx.doi.org/10.1109/IROS51168.2021.9635912,,,,,,,,,,,,,WOS:000755125502022,View Full Record in Web of Science
C,"Rafii-Tari, H; Liu, JD; Payne, CJ; Bicknell, C; Yang, GZ",,"Golland, P; Hata, N; Barillot, C; Hornegger, J; Howe, R",,"Rafii-Tari, Hedyeh; Liu, Jindong; Payne, Christopher J.; Bicknell, Colin; Yang, Guang-Zhong",,,Hierarchical HMM Based Learning of Navigation Primitives for Cooperative Robotic Endovascular Catheterization,"MEDICAL IMAGE COMPUTING AND COMPUTER-ASSISTED INTERVENTION - MICCAI 2014, PT I",Lecture Notes in Computer Science,,,,17th International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI),"SEP 14-18, 2014","Massachusetts Inst Technol, Boston, MA",Harvard Med Sch,Massachusetts Inst Technol,,,,,,,,"Yang, Guangzhong/ABB-7316-2021",,,,,,,,,,,,,,0302-9743,1611-3349,978-3-319-10404-1; 978-3-319-10403-4,,,,2014,8673,,,,,,496,+,,,,,,,,,,,25333155,,,,,WOS:000349019600062,View Full Record in Web of Science
C,"Khaksar, W; Uddin, MZ; Torresen, J",,"JardimGoncalves, R; Mendonca, JP; Jotsov, V; Marques, M; Martins, J; Bierwolf, R",,"Khaksar, Weria; Uddin, Md Zia; Torresen, Jim",,,Learning from Virtual Experience: Mapless Navigation with Neuro-Fuzzy Intelligence,2018 9TH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS (IS),,,,,9th International Conference on Intelligent Systems (IS),"SEP 25-27, 2018","Funchal, PORTUGAL","IEEE Technol & Engn Management Soc,Univ NOVA Lisboa, Faculdade Ciencias Tecnologia,Uninova,GRIS,Energy Efficiency Res Grp,Univ Minho",,,,,,,,,"Uddin, Zia/AAC-1309-2020","Uddin, Md Zia/0000-0002-5215-1834",,,,,,,,,,,,,,,978-1-5386-7097-2,,,,2018,,,,,,,117,124,,,,,,,,,,,,,,,,WOS:000469337900018,View Full Record in Web of Science
C,"Sebastian, M; Banisetty, SB; Feil-Seifer, D",,"Howard, A; Suzuki, K; Zollo, L",,"Sebastian, Meera; Banisetty, Santosh Balajee; Feil-Seifer, David",,,Socially-Aware Navigation Planner Using Models of Human-Human Interaction,2017 26TH IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),IEEE RO-MAN,,,,26th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),"AUG 28-SEP 01, 2017","Lisbon, PORTUGAL","Inst Elect & Elect Engineers,IEEE Robot & Automat Soc,Robot Soc Japan,Korean Robot Soc,Univ Coimbra, Inst Syst & Robot",,,,,,,,,"Banisetty, Santosh/JPV-0016-2023","Feil-Seifer, David/0000-0002-5502-7513",,,,,,,,,,,,,1944-9445,,978-1-5386-3518-6,,,,2017,,,,,,,405,410,,,,,,,,,,,,,,,,WOS:000427262400064,View Full Record in Web of Science
