table_caption,section,grouping,item,citation_keys,n_citations
Modeled capability implementation methods.,Control,Optimization-Based Control,Model Predictive Control (MPC),Arrais2019ApplicationOT ; Rigo2022ContactOF ; Gller2024APB ; Qin2022LearningFH ; Bertoncelli2020LinearTM ; Kumbhar2025MPCQPBasedCF,6
Modeled capability implementation methods.,Control,Optimization-Based Control,Optimization-Based Controller,Singh2013CoordinatingMM ; Beetz2016OpenRR,2
Modeled capability implementation methods.,Control,Optimization-Based Control,Constraint-Based controller,Beetz2016OpenRR,1
Modeled capability implementation methods.,Control,Optimization-Based Control,Hierarchical Quadratic Programming (HQP),Zhao2025ACL ; Zhao2025ReactiveWL,2
Modeled capability implementation methods.,Control,Classical Feedback Control,Ultrasonic Absolute Positioning,Lin2010ResearchOO,1
Modeled capability implementation methods.,Control,Classical Feedback Control,PID,Groth2013MultitaskingOC ; Waarsing2003BehaviorbasedMM ; Waarsing2005FromBI ; Williams2012ARA,4
Modeled capability implementation methods.,Control,Classical Feedback Control,Direct Joint Control,Koch2017ASR ; Stckler2014AdaptiveTS ; Forster2020AutomaticEO ; Scholz2011CartPW ; Waarsing2001IntroducingRI ; Mounsif2020BAMBA,6
Modeled capability implementation methods.,Control,Hybrid Control,Discrete Controller,Vasilopoulos2020ReactivePF,1
Modeled capability implementation methods.,Trajectory Generation,Primitive-Based,Predefined Poses,Holz2015ASS ; Arrais2019ApplicationOT ; Pedersen2016RobotSF ; Lim2019SkillbasedAA ; Chang2006ABB,5
Modeled capability implementation methods.,Trajectory Generation,Primitive-Based,Predefined Trajectories,Nagatani1996DesigningSA ; Nagatani1996DooropeningBO,2
Modeled capability implementation methods.,Trajectory Generation,Primitive-Based,Parameterized Motion Primitives,Stckler2014AdaptiveTS ; Garrett2016FFRobLS ; Yamazaki2012HomeAssistantRF ; Schwarz2016HybridDL ; Stckler2009IntegratingIM ; Andersen2017IntegrationOA ; Rodehutskors2015IntuitiveBT ; Pohl2024MAkEableMA ; Settimi2016MotionPB ; Groth2013MultitaskingOC ; Hornung2012NavigationIT ; Beetz2016OpenRR ; Partovi2017ReactiveIM ; Stuckler2012RoboCupHomeDE ; Petersson1999AHC ; Aarno2008MotionIR,16
Modeled capability implementation methods.,Trajectory Generation,Primitive-Based,Policy Blending with Primitives (PBP),Maeda2022BlendingPP,1
Modeled capability implementation methods.,Trajectory Generation,Function-Based,Parameterized Functions,Forster2020AutomaticEO ; Weser2009AutonomousPF ; Bruemmer2010BehaviorBC ; Li2022BEHAVIOR1KAB ; Sayyaadi2014ControlON ; Pedersen2015GestureBasedEO ; Frasca2020GoingCA ; Yamazaki2012HomeAssistantRF ; Stckler2013IncreasingFO ; Rodehutskors2015IntuitiveBT ; Amaral2017SkillbasedAA,11
Modeled capability implementation methods.,Trajectory Generation,Function-Based,Fuzzy Logic,Tsay2018BehavioristicIP ; Lin2010ResearchOO ; Wasik2002AFB,3
Modeled capability implementation methods.,Trajectory Generation,Human-in-the-loop,Teleoperated Trajectories,Huang2013BehaviorB ; Stulp2009LearningAP ; Pohl2024MAkEableMA ; Deng2017ReinforcementLO ; Li2017ReinforcementLO ; Short2019SAILSA ; Klamt2018SupervisedAL,7
Modeled capability implementation methods.,Trajectory Planning,Search-Based,Sampling-Based,Lee2018PlanningAC ; Peng2024RevolutionizingBD ; Karumanchi2017TeamRS ; Zsoldos2025TowardsRL ; Kotecha2024AHM ; Wahba2025pcdbCBSKM ; Wu2024InTW,7
Modeled capability implementation methods.,Trajectory Planning,Search-Based,Graph Search,Cohen2011PlanningFM ; Partovi2017ReactiveIM ; Cohen2012SearchbasedPF ; Cohen2010SearchbasedPF ; Williams2012ARA,5
Modeled capability implementation methods.,Trajectory Planning,Heuristic Planning,Random Walk,Chang2006ABB ; Chang2006AnalysisOA,2
Modeled capability implementation methods.,Trajectory Planning,Heuristic Planning,Vector Field Histogram (VFH),Tsay2010MaterialHO,1
Modeled capability implementation methods.,Trajectory Planning,Heuristic Planning,Finite State Machines (FSM),Lim2008MultipleHC,1
Modeled capability implementation methods.,Trajectory Planning,Data-Driven Planning,Deformable Registration Method (DRM),Stckler2014EfficientDR,1
Modeled capability implementation methods.,Trajectory Planning,Data-Driven Planning,Image comparison,Kenney2009InteractiveSF,1
Learned capability implementation methods.,Trajectory learning,DMP-Based methods,Learning from Demonstration (LfD),Mitrevski2019LucyTT ; Zhao2025ACL ; Lopera2012ComparingMG ; Niekum2012LearningAG ; Li2020PatternAA ; Toner2024PRFAP ; Zhao2025ReactiveWL ; Deng2017ReinforcementLO ; Li2017ReinforcementLO ; Beetz2011GeneralityAL ; Yang2023LearnTC ; Kim2022LearningAG ; Qin2022LearningFH ; Metzen2014TowardsLO ; Zhao2020CooperativeMF ; Urbaniak2025ObstacleAU ; Shan2026DockAnywhereDV,17
Learned capability implementation methods.,Trajectory learning,DMP-Based methods,LfD as kinesthetic teaching,Donald2024AnAF ; Ding2022IntelligentAF ; Gmez2012KinestheticTV ; Pohl2024MAkEableMA ; Pedersen2016RobotSF ; Short2019SAILSA ; Guo2025AdaptiveSC ; Carvalho2025ParameterFreeSO,8
Learned capability implementation methods.,Trajectory learning,Trajectory Adaptation / Editing,LfD,Donald2024AnAF ; Konidaris2012RobotLF,2
Learned capability implementation methods.,Trajectory learning,Statistical Models,LfD,Ding2022IntelligentAF ; Zhao2025ReactiveWL ; Watanabe2024ImprovingRS ; Guo2025AdaptiveSC ; Lee2025LearningCL ; Gupta2025PreciseMM ; Fu2024MobileAL ; Mounsif2020BAMBA,8
Learned capability implementation methods.,Trajectory learning,Statistical Models,combined with Bayesian Non-Parametric approach,Beetz2016OpenRR,1
Learned capability implementation methods.,Trajectory learning,Supervised Learning (SL),combined with Support Vector Machines (SVM),Nguyen2012AutonomouslyLT ; Huang2013BehaviorB ; Stulp2009LearningAP ; Rosen2023SynthesizingNA ; Beetz2011GeneralityAL,5
Learned capability implementation methods.,Trajectory learning,Supervised Learning (SL),as Skill Transformer,Huang2023SkillTA,1
Learned capability implementation methods.,Trajectory learning,Representation Learning Approaches,Unsupervised Learning (UL),Short2019SAILSA,1
Learned capability implementation methods.,Trajectory learning,Representation Learning Approaches,Self-Supervised Learning (SSL),Kiyokawa2025SelfSupervisedLO,1
Learned capability implementation methods.,Trajectory learning,Reinforcement Learning (RL) variants,unspecified RL,Watanabe2024ImprovingRS ; Caro2025PushSN ; Dadiotis2025DynamicOG ; Mounsif2020BAMBA ; Watanabe2025IntegratingBP ; Yokoyama2023ASCAS,6
Learned capability implementation methods.,Trajectory learning,Reinforcement Learning (RL) variants,VisuoMotor Control (VMC),Li2022BEHAVIOR1KAB ; Yang2022VariableIS,2
Learned capability implementation methods.,Trajectory learning,Reinforcement Learning (RL) variants,"Hybrid RL (HyRL), Boosted HyRL (BHyRL)",Jauhri2022RobotLO,1
Learned capability implementation methods.,Trajectory learning,Reinforcement Learning (RL) variants,DeepRL combinations,Orsula2022LearningTG ; Li2019ManipulationSA ; Arm2024PedipulateEM,3
Learned capability implementation methods.,Trajectory learning,Reinforcement Learning (RL) variants,as Curriculum Learning combinations,Youngquist2022EvaluatingSA,1
Learned capability implementation methods.,Skill sequencing,Demonstration-based Sequencing,LfD,Forster2020AutomaticEO ; Pedersen2016RobotSF ; Niekum2012LearningAG ; Gller2024APB ; Watanabe2024ImprovingRS ; Yokoyama2023ASCAS ; 10363049,7
Learned capability implementation methods.,Skill sequencing,Demonstration-based Sequencing,TbD,Pedersen2015GestureBasedEO,1
Learned capability implementation methods.,Skill sequencing,Symbolic Approaches,NeuralSymbolic AI,Peng2024RevolutionizingBD,1
Learned capability implementation methods.,Skill sequencing,Symbolic Approaches,LLM-based,Xiao2025AutonomousBC,1
